timestamp,temp_entrada_c,temp_saida_c,vazao_m3_h,potencia_kw,pressao_oleo_bar,nivel_tanque_pct
2026-01-01 00:00:00,28.08,23.2,86.31,147.4,2.82,65.1
2026-01-01 00:05:00,27.75,23.03,86.39,142.15,2.76,67.1
2026-01-01 00:10:00,28.22,23.18,83.15,144.5,2.83,70.2
2026-01-01 00:15:00,28.28,23.26,85.42,145.62,2.74,67.7
2026-01-01 00:20:00,27.57,22.67,90.58,142.59,2.85,66.6
2026-01-01 00:25:00,27.75,23.04,85.09,148.1,2.89,64.9
2026-01-01 00:30:00,28.12,23.18,83.46,145.03,2.91,69.6
2026-01-01 00:35:00,28.03,23.13,84.82,146.84,2.86,67.4
2026-01-01 00:40:00,28.12,23.53,85.55,138.77,2.74,64.9
2026-01-01 00:45:00,27.92,23.37,85.0,136.66,2.83,66.1
2026-01-01 00:50:00,28.37,23.3,85.36,146.89,2.95,65.6
2026-01-01 00:55:00,28.36,24.08,81.89,138.39,2.77,67.4
2026-01-01 01:00:00,28.2,23.21,83.16,144.36,2.82,67.9
2026-01-01 01:05:00,28.48,23.66,85.25,141.23,2.92,66.8
2026-01-01 01:10:00,28.33,23.05,85.28,151.08,2.87,68.7
2026-01-01 01:15:00,28.01,23.18,84.34,145.23,2.98,67.7
2026-01-01 01:20:00,28.33,23.21,85.37,153.25,2.79,69.2
2026-01-01 01:25:00,28.01,23.16,86.03,145.61,2.78,67.1
2026-01-01 01:30:00,28.49,23.5,88.17,148.89,2.91,72.2
2026-01-01 01:35:00,28.27,23.12,85.76,151.03,2.77,66.8
2026-01-01 01:40:00,28.25,23.4,87.07,141.24,2.83,66.3
2026-01-01 01:45:00,28.14,22.92,84.79,146.88,2.84,66.1
2026-01-01 01:50:00,28.63,23.9,87.64,139.69,2.91,67.3
2026-01-01 01:55:00,28.3,23.25,87.21,143.75,2.89,65.1
2026-01-01 02:00:00,28.25,23.03,88.5,152.81,2.88,68.1
2026-01-01 02:05:00,28.28,23.13,88.19,150.3,2.83,64.8
2026-01-01 02:10:00,28.52,23.04,87.94,154.39,2.93,67.9
2026-01-01 02:15:00,28.49,23.68,86.29,136.05,3.1,65.6
2026-01-01 02:20:00,28.51,23.86,87.22,147.93,2.9,67.1
2026-01-01 02:25:00,28.53,23.78,89.33,141.01,2.87,68.6
2026-01-01 02:30:00,28.97,23.8,85.11,155.27,2.79,71.2
2026-01-01 02:35:00,28.35,23.22,85.24,144.24,2.83,66.1
2026-01-01 02:40:00,28.34,23.3,87.33,145.14,2.86,67.5
2026-01-01 02:45:00,28.28,23.54,87.99,136.56,2.84,66.6
2026-01-01 02:50:00,28.65,23.43,84.96,150.79,2.87,66.4
2026-01-01 02:55:00,28.79,24.07,86.9,139.38,2.98,66.7
2026-01-01 03:00:00,28.49,23.17,86.92,148.46,2.95,69.0
2026-01-01 03:05:00,28.32,22.58,81.69,152.94,2.87,67.0
2026-01-01 03:10:00,28.34,23.21,86.75,151.12,2.81,71.1
2026-01-01 03:15:00,28.72,23.54,86.98,151.84,2.97,68.4
2026-01-01 03:20:00,28.76,23.84,87.04,151.17,2.88,66.2
2026-01-01 03:25:00,28.72,24.13,91.05,139.59,2.79,67.2
2026-01-01 03:30:00,28.43,23.53,84.54,145.59,2.93,66.6
2026-01-01 03:35:00,28.67,23.89,85.59,139.49,2.95,69.0
2026-01-01 03:40:00,28.66,23.96,81.19,140.2,2.75,65.3
2026-01-01 03:45:00,28.69,23.2,86.59,152.67,2.85,65.8
2026-01-01 03:50:00,28.87,23.73,86.88,150.29,2.89,66.9
2026-01-01 03:55:00,28.72,23.55,86.67,152.36,2.94,68.8
2026-01-01 04:00:00,28.85,23.85,90.78,150.57,2.87,69.7
2026-01-01 04:05:00,28.71,23.67,90.24,145.53,2.85,69.9
2026-01-01 04:10:00,28.77,23.45,88.35,154.99,2.95,68.6
2026-01-01 04:15:00,28.87,23.79,87.3,147.97,2.88,67.7
2026-01-01 04:20:00,28.36,23.14,90.87,150.0,2.94,69.0
2026-01-01 04:25:00,28.66,23.62,88.33,145.66,2.84,66.1
2026-01-01 04:30:00,28.63,23.62,86.41,145.23,2.83,65.1
2026-01-01 04:35:00,28.6,23.85,84.23,147.76,2.96,68.5
2026-01-01 04:40:00,28.7,24.1,87.49,142.01,2.93,66.3
2026-01-01 04:45:00,29.16,24.12,90.56,148.71,2.97,67.8
2026-01-01 04:50:00,28.58,23.46,94.44,149.42,2.89,68.0
2026-01-01 04:55:00,29.05,24.26,88.97,151.47,2.87,68.2
2026-01-01 05:00:00,28.4,23.29,86.98,152.39,3.0,69.3
2026-01-01 05:05:00,28.74,23.61,86.01,146.49,2.83,69.1
2026-01-01 05:10:00,28.88,24.3,90.42,140.48,3.0,68.2
2026-01-01 05:15:00,29.0,24.1,84.7,144.21,3.0,67.2
2026-01-01 05:20:00,29.04,23.81,90.57,151.47,2.98,68.0
2026-01-01 05:25:00,29.07,23.84,91.31,149.05,2.89,67.0
2026-01-01 05:30:00,28.79,23.95,90.43,146.56,2.88,67.6
2026-01-01 05:35:00,28.77,23.6,88.87,154.26,2.92,71.8
2026-01-01 05:40:00,29.11,23.72,90.9,149.65,2.85,68.2
2026-01-01 05:45:00,28.86,23.53,89.99,149.15,2.87,68.6
2026-01-01 05:50:00,28.6,23.48,87.69,147.4,2.97,66.8
2026-01-01 05:55:00,28.65,23.62,94.34,147.51,2.97,69.4
2026-01-01 06:00:00,28.71,23.72,88.91,153.17,2.87,69.1
2026-01-01 06:05:00,29.07,23.8,91.8,154.92,2.98,69.1
2026-01-01 06:10:00,28.99,23.79,83.89,152.18,2.96,68.2
2026-01-01 06:15:00,29.14,23.82,93.2,152.09,3.03,69.5
2026-01-01 06:20:00,28.87,23.67,93.76,150.31,2.97,69.8
2026-01-01 06:25:00,29.02,23.65,90.24,148.73,3.0,68.4
2026-01-01 06:30:00,29.15,23.96,91.63,153.04,2.97,67.8
2026-01-01 06:35:00,28.92,23.56,91.71,154.81,3.0,69.3
2026-01-01 06:40:00,29.12,23.73,88.78,156.97,2.86,66.6
2026-01-01 06:45:00,28.85,23.88,91.83,146.85,2.94,66.9
2026-01-01 06:50:00,28.93,24.21,88.51,142.67,2.94,67.9
2026-01-01 06:55:00,28.94,23.37,89.09,156.33,2.93,65.3
2026-01-01 07:00:00,28.74,23.49,93.5,154.59,2.97,69.2
2026-01-01 07:05:00,29.17,24.41,93.2,140.09,2.98,66.5
2026-01-01 07:10:00,28.94,23.93,89.07,149.67,2.97,67.3
2026-01-01 07:15:00,29.06,23.68,89.07,153.01,2.94,67.6
2026-01-01 07:20:00,29.19,24.06,89.37,146.05,2.9,68.0
2026-01-01 07:25:00,29.19,24.12,92.89,142.84,3.01,67.4
2026-01-01 07:30:00,29.25,23.7,88.63,155.05,2.97,67.9
2026-01-01 07:35:00,29.06,24.12,92.1,151.35,2.89,67.9
2026-01-01 07:40:00,28.99,23.98,93.15,153.21,2.94,67.3
2026-01-01 07:45:00,29.08,23.82,91.13,152.67,2.84,66.8
2026-01-01 07:50:00,28.68,23.38,93.95,158.76,2.95,69.6
2026-01-01 07:55:00,28.75,23.42,90.74,152.53,2.94,64.8
2026-01-01 08:00:00,28.79,23.35,91.04,157.17,2.92,67.7
2026-01-01 08:05:00,28.87,23.61,89.2,149.95,3.04,67.3
2026-01-01 08:10:00,29.23,23.89,94.26,151.9,2.88,68.6
2026-01-01 08:15:00,28.91,23.75,89.88,147.76,2.99,65.8
2026-01-01 08:20:00,29.04,23.81,92.74,145.42,3.08,67.2
2026-01-01 08:25:00,29.47,24.22,91.76,155.47,3.01,67.8
2026-01-01 08:30:00,29.06,23.78,89.38,149.64,2.95,69.6
2026-01-01 08:35:00,29.34,23.91,90.56,151.52,2.88,68.5
2026-01-01 08:40:00,28.92,23.55,95.61,150.61,2.87,66.2
2026-01-01 08:45:00,29.11,23.87,92.73,151.08,2.92,67.3
2026-01-01 08:50:00,28.93,23.89,89.78,153.22,2.91,69.3
2026-01-01 08:55:00,29.08,23.83,93.13,158.2,2.91,66.2
2026-01-01 09:00:00,29.38,24.15,92.08,146.39,2.93,67.9
2026-01-01 09:05:00,28.74,23.45,101.15,152.99,2.94,68.0
2026-01-01 09:10:00,29.28,23.49,93.3,156.95,2.98,67.4
2026-01-01 09:15:00,29.24,24.13,91.7,152.49,2.87,72.0
2026-01-01 09:20:00,29.03,23.68,96.28,154.88,2.91,67.4
2026-01-01 09:25:00,28.82,23.31,88.19,152.94,2.94,68.7
2026-01-01 09:30:00,29.2,23.93,93.1,152.44,2.94,66.8
2026-01-01 09:35:00,29.06,23.22,97.92,160.18,3.06,68.8
2026-01-01 09:40:00,29.25,24.09,92.71,155.25,2.96,69.3
2026-01-01 09:45:00,29.2,23.86,88.74,153.91,2.85,67.1
2026-01-01 09:50:00,29.59,24.54,92.15,150.78,2.97,67.9
2026-01-01 09:55:00,29.14,23.97,96.85,143.41,2.98,66.7
2026-01-01 10:00:00,28.94,23.62,94.22,152.96,2.94,66.3
2026-01-01 10:05:00,29.24,23.77,91.25,161.08,2.87,69.6
2026-01-01 10:10:00,29.25,23.91,91.7,156.94,3.05,67.2
2026-01-01 10:15:00,29.54,23.96,92.08,151.05,2.88,64.4
2026-01-01 10:20:00,29.41,24.17,94.45,151.07,2.98,70.6
2026-01-01 10:25:00,29.29,24.11,96.96,148.04,2.95,66.8
2026-01-01 10:30:00,29.57,23.62,96.32,168.05,2.97,67.6
2026-01-01 10:35:00,28.9,23.54,94.89,154.73,3.04,70.5
2026-01-01 10:40:00,29.04,23.95,90.49,146.65,2.97,67.8
2026-01-01 10:45:00,28.97,23.87,90.56,149.19,2.9,67.8
2026-01-01 10:50:00,29.1,24.06,95.28,141.3,3.0,66.2
2026-01-01 10:55:00,28.85,23.34,90.65,152.0,2.9,65.5
2026-01-01 11:00:00,29.36,24.17,93.51,151.08,2.94,67.7
2026-01-01 11:05:00,29.14,23.83,94.9,155.65,2.85,68.5
2026-01-01 11:10:00,28.83,23.56,91.36,145.88,2.87,68.4
2026-01-01 11:15:00,28.94,23.48,91.71,153.63,2.93,67.3
2026-01-01 11:20:00,29.27,24.2,94.1,152.38,2.95,68.0
2026-01-01 11:25:00,29.4,24.39,95.65,144.46,2.82,65.2
2026-01-01 11:30:00,29.69,24.35,97.11,154.69,2.96,68.7
2026-01-01 11:35:00,29.91,24.48,96.04,155.41,2.87,68.2
2026-01-01 11:40:00,29.29,23.92,94.76,159.11,3.0,70.9
2026-01-01 11:45:00,28.93,23.85,92.78,148.61,2.9,68.0
2026-01-01 11:50:00,28.64,23.19,92.03,154.23,2.85,66.6
2026-01-01 11:55:00,29.24,24.14,93.49,152.28,2.92,67.9
2026-01-01 12:00:00,28.97,23.81,95.85,147.06,2.86,67.5
2026-01-01 12:05:00,29.06,24.01,95.72,148.78,2.99,68.6
2026-01-01 12:10:00,29.01,23.39,89.69,155.3,2.91,68.0
2026-01-01 12:15:00,29.12,23.67,93.04,154.42,2.9,66.1
2026-01-01 12:20:00,29.42,23.98,98.07,158.3,2.95,65.5
2026-01-01 12:25:00,29.19,23.59,95.31,159.28,2.85,68.4
2026-01-01 12:30:00,29.11,23.11,91.63,160.52,2.83,70.0
2026-01-01 12:35:00,28.88,24.02,101.12,148.12,2.93,68.1
2026-01-01 12:40:00,28.72,23.61,95.21,154.65,2.84,69.2
2026-01-01 12:45:00,29.01,23.87,96.3,148.37,2.84,69.5
2026-01-01 12:50:00,29.11,24.03,96.4,150.45,2.95,68.4
2026-01-01 12:55:00,29.56,24.54,94.53,148.22,2.93,66.7
2026-01-01 13:00:00,29.15,23.93,93.69,151.37,2.82,68.2
2026-01-01 13:05:00,29.36,24.36,100.87,144.67,2.86,69.8
2026-01-01 13:10:00,28.98,23.6,98.12,159.07,2.84,68.7
2026-01-01 13:15:00,28.8,23.49,97.72,151.38,3.0,69.1
2026-01-01 13:20:00,28.85,23.43,97.16,158.28,2.94,67.2
2026-01-01 13:25:00,28.91,23.48,93.26,152.67,2.86,67.6
2026-01-01 13:30:00,29.61,24.16,99.02,154.17,2.92,67.7
2026-01-01 13:35:00,28.87,23.66,93.77,154.97,2.8,67.8
2026-01-01 13:40:00,29.28,23.45,96.63,164.25,2.84,69.7
2026-01-01 13:45:00,28.83,23.48,91.88,153.87,2.89,64.4
2026-01-01 13:50:00,29.29,24.45,90.92,147.48,2.91,68.0
2026-01-01 13:55:00,29.14,24.09,96.87,148.74,2.87,67.8
2026-01-01 14:00:00,29.0,24.13,94.1,146.26,2.89,65.8
2026-01-01 14:05:00,29.02,23.72,91.2,150.32,2.88,68.9
2026-01-01 14:10:00,28.86,23.59,97.57,155.77,2.86,66.8
2026-01-01 14:15:00,29.13,23.94,101.57,150.48,2.85,67.4
2026-01-01 14:20:00,28.89,23.09,99.78,165.95,2.84,70.7
2026-01-01 14:25:00,28.69,23.26,95.71,154.25,2.88,69.4
2026-01-01 14:30:00,28.67,23.19,96.42,156.07,2.89,68.7
2026-01-01 14:35:00,29.03,23.96,98.67,152.52,2.87,68.4
2026-01-01 14:40:00,29.37,24.32,99.3,150.18,2.79,67.6
2026-01-01 14:45:00,29.0,23.7,95.68,152.37,2.8,70.9
2026-01-01 14:50:00,28.93,23.58,96.66,153.88,2.88,69.1
2026-01-01 14:55:00,29.02,24.18,97.37,149.18,2.94,66.7
2026-01-01 15:00:00,29.26,24.01,98.05,150.93,2.86,65.8
2026-01-01 15:05:00,28.98,23.68,96.37,152.93,2.82,68.7
2026-01-01 15:10:00,28.82,23.57,96.44,152.49,2.86,67.8
2026-01-01 15:15:00,29.19,24.09,100.23,153.56,2.77,65.7
2026-01-01 15:20:00,29.01,23.84,99.85,151.61,2.92,68.5
2026-01-01 15:25:00,29.27,24.02,98.05,158.33,2.85,67.4
2026-01-01 15:30:00,28.92,23.61,101.2,154.06,2.8,68.6
2026-01-01 15:35:00,28.56,23.11,95.97,154.69,2.82,68.5
2026-01-01 15:40:00,28.52,22.95,101.03,157.68,2.8,66.9
2026-01-01 15:45:00,29.26,24.04,98.37,148.55,2.91,68.8
2026-01-01 15:50:00,29.27,24.09,105.22,150.15,2.81,67.1
2026-01-01 15:55:00,28.78,23.38,94.1,152.78,2.83,67.1
2026-01-01 16:00:00,28.72,23.27,95.39,158.68,2.86,67.0
2026-01-01 16:05:00,29.17,23.99,98.2,151.81,2.78,69.5
2026-01-01 16:10:00,28.52,23.03,98.18,155.03,2.83,67.4
2026-01-01 16:15:00,28.56,23.02,102.09,161.64,2.83,69.8
2026-01-01 16:20:00,28.93,23.32,95.58,162.48,2.72,70.4
2026-01-01 16:25:00,28.66,22.93,99.54,164.19,2.83,66.7
2026-01-01 16:30:00,28.75,23.67,100.22,148.07,2.81,63.4
2026-01-01 16:35:00,28.69,23.4,99.1,152.21,2.81,69.3
2026-01-01 16:40:00,28.81,23.52,94.97,158.29,2.81,67.2
2026-01-01 16:45:00,29.06,23.8,100.92,154.34,2.82,66.4
2026-01-01 16:50:00,28.72,23.6,100.5,150.65,2.88,66.8
2026-01-01 16:55:00,28.85,23.93,98.95,150.15,2.73,67.1
2026-01-01 17:00:00,28.16,22.86,97.99,156.73,2.77,69.7
2026-01-01 17:05:00,28.65,23.56,98.07,148.76,2.83,68.0
2026-01-01 17:10:00,28.44,23.14,97.34,154.17,2.82,69.6
2026-01-01 17:15:00,28.33,23.25,99.16,153.34,2.81,68.4
2026-01-01 17:20:00,28.4,23.4,97.66,145.62,2.95,67.2
2026-01-01 17:25:00,28.53,23.19,95.48,153.69,2.82,67.1
2026-01-01 17:30:00,28.83,23.51,95.01,149.88,2.85,68.5
2026-01-01 17:35:00,28.25,22.83,95.77,152.02,2.76,68.9
